Trade #,Type,Date and time,Price,Qty,Net PnL,Net PnL %,Favorable excursion USD,Adverse excursion USD,Cumulative PnL
102,Exit long,2025-11-22 02:45,2751.900000,1,37.660000,1.3875,69.100000,-2.710000,-542.250000
102,Entry long,2025-11-21 23:00,2714.240000,1,37.660000,1.3875,69.100000,-2.710000,-542.250000
101,Exit long,2025-11-21 15:45,2703.700000,1,1.360000,0.0503,19.810000,-16.580000,-579.910000
101,Entry long,2025-11-21 15:30,2702.340000,1,1.360000,0.0503,19.810000,-16.580000,-579.910000
100,Exit long,2025-11-20 23:30,2848.170000,1,-126.120000,-4.2403,47.030000,-186.280000,-581.270000
100,Entry long,2025-11-20 14:00,2974.290000,1,-126.120000,-4.2403,47.030000,-186.280000,-581.270000
99,Exit long,2025-11-20 09:15,3012.770000,1,-22.640000,-0.7459,69.550000,-162.410000,-455.150000
99,Entry long,2025-11-19 14:15,3035.410000,1,-22.640000,-0.7459,69.550000,-162.410000,-455.150000
98,Exit long,2025-11-17 13:00,3164.080000,1,26.090000,0.8314,85.230000,-136.980000,-432.510000
98,Entry long,2025-11-16 13:45,3137.990000,1,26.090000,0.8314,85.230000,-136.980000,-432.510000
97,Exit long,2025-11-14 20:30,3128.950000,1,-10.480000,-0.3338,116.520000,-71.430000,-458.600000
97,Entry long,2025-11-14 11:30,3139.430000,1,-10.480000,-0.3338,116.520000,-71.430000,-458.600000
96,Exit long,2025-11-14 04:00,3211.990000,1,-227.220000,-6.6067,42.050000,-286.720000,-448.120000
96,Entry long,2025-11-13 13:30,3439.210000,1,-227.220000,-6.6067,42.050000,-286.720000,-448.120000
95,Exit long,2025-11-13 10:45,3504.130000,1,115.300000,3.4024,176.170000,-18.830000,-220.900000
95,Entry long,2025-11-12 16:00,3388.830000,1,115.300000,3.4024,176.170000,-18.830000,-220.900000
94,Exit long,2025-11-12 02:30,3423.070000,1,-80.590000,-2.3002,24.600000,-100.640000,-336.200000
94,Entry long,2025-11-11 14:45,3503.660000,1,-80.590000,-2.3002,24.600000,-100.640000,-336.200000
93,Exit long,2025-11-10 21:30,3539.000000,1,-2.630000,-0.0743,41.060000,-36.080000,-255.610000
93,Entry long,2025-11-10 14:45,3541.630000,1,-2.630000,-0.0743,41.060000,-36.080000,-255.610000
